files-in-error-series,SXS_BBH_0074_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.2807926278199997e-10
f_lower_at_1MSUN,809.7746396507697
spin1z,1.33059635338e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0074
Format,3
LNhaty,-1.0222077996576486e-10
LNhatx,2.9245982944763079e-11
LNhatz,1.0
mean_anomaly,2.8290579999999999
Omega,0.0125303608007
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,2.7234306315800001e-10
spin2y,1.2187805488699999e-09
spin2z,1.33886662406e-07
eccentricity,0.0267318
nhatz,2.3483715059673809e-11
simulation-type,non-spinning
nhatx,0.87692427115306371
nhaty,0.48062857037703033
mass1,0.50000015966699995
name,SXS:BBH:0074
license,LVC-internal
mass2,0.50000016670500003
type,NRinjection
Lmax,8
eta,0.24999999999999989
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,530.0
PN_approximant,"none, NR only"
spin1x,8.4570387293199995e-10
