files-in-error-series,SXS_BBH_0046_Res5.h5
comparable-simulation,"SXS_BBH_0174_Res1.h5,SXS_BBH_0174_Res2.h5,SXS_BBH_0174_Res4.h5,SXS_BBH_0174_Res5.h5,SXS_BBH_0174_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,1.8598678496300001e-12
f_lower_at_1MSUN,1144.6100801650209
spin1z,-0.49953500000099998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0046
Format,3
LNhaty,-4.4903068090283119e-12
LNhatx,5.767035393642079e-13
LNhatz,1.0
mean_anomaly,1.967009
Omega,0.017711566376999999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-1.8785030075200002e-12
spin2y,8.0964509849899999e-13
spin2z,-0.49935500000100003
eccentricity,0.0002173
nhatz,-3.4372644019623065e-13
simulation-type,aligned-spins
nhatx,-0.97931836538289063
nhaty,-0.20232533015859208
mass1,0.75033426194499997
name,SXS:BBH:0046
license,LVC-internal
mass2,0.25012910860799997
type,NRinjection
Lmax,8
eta,0.18750662973694568
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,190.0
PN_approximant,"none, NR only"
spin1x,6.8036365451099997e-12
