files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.59999999999999998
modification-date,2017-05-27
production-run,1
alternative-names,D10_q3.00_a0.6_0.0_m240
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,2.9028234391509491
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,9.9877163602046792
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0057962278124886746
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.94875774000000002
nhaty,-0.31600434999999999
mass1,0.75
name,GT0600
license,public
mass2,0.25
Omega,0.054824297400954035
Lmax,8
eta,0.1875
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1771.061237538263
