files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-17
production-run,1
alternative-names,D9_q2.8_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.4043778375007037
type,NRinjection
comparable-simulation,GT0582
init_sep,8.6938554257697085
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0020464584007461187
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.66073824000000003
nhaty,0.75061639999999996
mass1,0.73684210999999999
name,GT0653
license,public
mass2,0.26315789000000001
Omega,0.066679573587066679
Lmax,8
eta,0.19390582000000001
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2154.0377845969251
