files-in-error-series,SXS_BBH_0083_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,3.7799438872099997e-12
f_lower_at_1MSUN,742.32511245428702
spin1z,0.49950299999800002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0083
Format,3
LNhaty,5.7813002122439558e-11
LNhatx,-4.4843885110326827e-11
LNhatz,1.0
mean_anomaly,1.852892
Omega,0.0114866544777
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-2.4898071616500002e-09
spin2y,-1.22825187218e-09
spin2z,1.12976389098e-07
eccentricity,0.025341700000000002
nhatz,-7.292143220268438e-11
simulation-type,aligned-spins
nhatx,-0.54625089109131575
nhaty,0.83762161145826675
mass1,0.50023076315500004
name,SXS:BBH:0083
license,LVC-internal
mass2,0.50000000764499997
type,NRinjection
Lmax,8
eta,0.24999998669411561
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,-6.3556038533900001e-12
