files-in-error-series,"SXS_BBH_0230_Res3.h5,SXS_BBH_0230_Res4.h5,SXS_BBH_0230_Res5.h5"
comparable-simulation,
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-3.7552142138399997e-09
f_lower_at_1MSUN,996.76585489850254
spin1z,0.79987567687899996
modification-date,2017-03-05
production-run,1
alternative-names,"PRIVATE:BBH:0064,SXS:BBH:0230"
Format,3
LNhaty,-3.9326312280160107e-11
LNhatx,1.3921060838069495e-10
LNhatz,1.0
mean_anomaly,2.993913
Omega,0.015423841627199999
INSPIRE-bibtex-keys,SXSCatalog
NR-group,SXS
spin2x,-1.8938106741299999e-09
spin2y,4.0192109215400004e-09
spin2z,0.79987589909800005
eccentricity,0.0001219
nhatz,-1.3569642623723677e-10
simulation-type,aligned-spins
nhatx,0.80851484972990817
nhaty,-0.58847577500371595
mass1,0.50003611487499999
name,SXS:BBH:0230
license,LVC-internal
mass2,0.50003605118100003
type,NRinjection
Lmax,8
eta,0.24999999999999906
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,370.0
PN_approximant,"none, NR only"
spin1x,1.4955320994900001e-09
