files-in-error-series,SXS_BBH_0088_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.066726601729399995
f_lower_at_1MSUN,804.52248255878976
spin1z,0.00035625422218000001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0088
Format,3
LNhaty,-0.012870527334410927
LNhatx,0.0010622344757954217
LNhatz,0.99991660711483954
mean_anomaly,0.65856899999999996
Omega,0.01244908951839256
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,7.1365243045000001e-08
spin2y,4.6873343721700002e-08
spin2z,7.8846848345899995e-08
eccentricity,0.059475699999999999
nhatz,0.0049587706799882969
simulation-type,precessing
nhatx,-0.95179489374101212
nhaty,0.30669511056076293
mass1,0.50022948773700004
name,SXS:BBH:0088
license,LVC-internal
mass2,0.49999994515599999
type,NRinjection
Lmax,8
eta,0.24999998683359312
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,230.0
PN_approximant,"none, NR only"
spin1x,0.49502846804299999
