files-in-error-series,SXS_BBH_0103_Res5.h5
comparable-simulation,"SXS_BBH_0036_Res4.h5,SXS_BBH_0036_Res5.h5,SXS_BBH_0036_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.0581932997366
f_lower_at_1MSUN,795.54231268705439
spin1z,0.00049075051127799995
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0103
Format,3
LNhaty,-0.01734557844709228
LNhatx,0.00098714304435562421
LNhatz,0.99984906683806329
mean_anomaly,5.2555620000000003
Omega,0.012310131389754512
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,6.7666602631599997e-09
spin2y,9.9217468646600002e-09
spin2z,1.4717861503699999e-07
eccentricity,0.0023598
nhatz,0.0046269761915561985
simulation-type,precessing
nhatx,-0.97745679888169923
nhaty,0.21108481094399933
mass1,0.60027067806300005
name,SXS:BBH:0103
license,LVC-internal
mass2,0.40000016206
type,NRinjection
Lmax,8
eta,0.23997835936486878
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,240.0
PN_approximant,"none, NR only"
spin1x,0.49612293082499997
