files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,q1.2_a0.4x_0.4x_GW15_D11_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.011711940000000001
LNhatx,0.01392088
LNhatz,0.99983451000000001
mean_anomaly,1.5487150381648125
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,10.641733327127177
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0072734345027553673
nhatz,-0.0083442900000000007
simulation-type,precessing
nhatx,-0.22029325999999999
nhaty,-0.97539799999999999
mass1,0.53394807
name,GT0900
license,public
mass2,0.44496327000000002
Omega,0.051319318763206445
Lmax,8
eta,0.24793422000000001
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,1657.8353122096439
