files-in-error-series,SXS_BBH_0114_Res5.h5
comparable-simulation,"SXS_BBH_0065_Res3.h5,SXS_BBH_0065_Res4.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.30750557894e-10
f_lower_at_1MSUN,1274.6138282375027
spin1z,-0.49955899999999998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0114
Format,3
LNhaty,1.032616625854543e-09
LNhatx,1.8849341104276141e-10
LNhatz,1.0
mean_anomaly,1.2337180000000001
Omega,0.019723229609000002
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,2.5352098071500001e-12
spin2y,-1.09069254512e-10
spin2z,4.9647563834700003e-07
eccentricity,0.0017048
nhatz,3.244666242661793e-11
simulation-type,aligned-spins
nhatx,0.97772390991473535
nhaty,-0.20989510709171547
mass1,0.88927799319099998
name,SXS:BBH:0114
license,LVC-internal
mass2,0.11111162833300001
type,NRinjection
Lmax,8
eta,0.098732174515518314
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,310.0
PN_approximant,"none, NR only"
spin1x,2.4152413195500001e-11
