files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,fr_b3.1_a0.8_oth.090_M77
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-1.31e-06
LNhatx,-1.44e-06
LNhatz,1.0
mean_anomaly,3.3283044192776448
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,5.7517643480053504
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.16906060203040735
nhatz,1.0699999999999999e-06
simulation-type,precessing
nhatx,0.96485794999999996
nhaty,-0.26277201
mass1,0.5
name,GT0388
license,public
mass2,0.5
Omega,0.11412412485019988
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3686.7013964988632
