files-in-error-series,SXS_BBH_0112_Res5.h5
comparable-simulation,"SXS_BBH_0113_Res3.h5,SXS_BBH_0113_Res4.h5,SXS_BBH_0113_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-3.8730369248100002e-11
f_lower_at_1MSUN,1136.9707596425262
spin1z,2.9679281466099999e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0112
Format,3
LNhaty,-1.5912043777815088e-10
LNhatx,1.8504762492127726e-11
LNhatz,1.0
mean_anomaly,0.31477100000000002
Omega,0.017593356398900001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.4231616616200002e-11
spin2y,1.7441898421e-10
spin2z,3.7212318871800002e-07
eccentricity,0.0012412
nhatz,-1.5590673325031101e-10
simulation-type,non-spinning
nhatx,0.34065989500538979
nhaty,-0.9401865963386824
mass1,0.83333338057299999
name,SXS:BBH:0112
license,LVC-internal
mass2,0.16666713332700001
type,NRinjection
Lmax,8
eta,0.13888914289550214
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,290.0
PN_approximant,"none, NR only"
spin1x,1.0518622443599999e-09
