files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Lq_D6.2_q3.00_a0.6_th030_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.01548306
LNhatx,0.00065994999999999997
LNhatz,0.99987990999999998
mean_anomaly,3.0843823360659886
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2979025342354049
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.012328186091587468
nhatz,-0.00444182
simulation-type,precessing
nhatx,0.97390138000000004
nhaty,-0.22692813000000001
mass1,0.75
name,GT0732
license,public
mass2,0.25
Omega,0.10338204114687072
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3339.6857673113072
