files-in-error-series,SXS_BBH_0009_Res5.h5
comparable-simulation,"SXS_BBH_0098_Res2.h5,SXS_BBH_0098_Res4.h5,SXS_BBH_0098_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,2.8365756879599999e-11
f_lower_at_1MSUN,1136.686992288903
spin1z,0.49951290601499998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0009
Format,3
LNhaty,2.9125223492861559e-10
LNhatx,-6.2597336001057805e-11
LNhatz,1.0
mean_anomaly,1.3718600000000001
Omega,0.017588965415100001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-5.4100052218000002e-09
spin2y,-1.78473241353e-09
spin2z,4.1108526541300002e-07
eccentricity,9.5000000000000005e-05
nhatz,1.8175905548595579e-10
simulation-type,aligned-spins
nhatx,-0.64641004603576302
nhaty,-0.76299020464488465
mass1,0.60027437092299996
name,SXS:BBH:0009
license,LVC-internal
mass2,0.40000040224700001
type,NRinjection
Lmax,8
eta,0.2399780926268649
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,230.0
PN_approximant,"none, NR only"
spin1x,-2.3790293778199999e-12
