files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.10000000000000001
modification-date,2017-05-16
production-run,1
alternative-names,D9_q1.50_a0.1_m200
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,3.0296332031694746
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,8.6543476641082453
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.10000000000000001
eccentricity,0.0044950936945251218
nhatz,-0.0
simulation-type,aligned-spins
nhatx,0.95484831999999997
nhaty,-0.29709374
mass1,0.59999999999999998
name,GT0543
license,public
mass2,0.40000000000000002
Omega,0.067450601510799513
Lmax,6
eta,0.23999999999999999
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,2178.9453116153941
