files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Lq_D6.2_q3.00_a0.6_th045_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.022598529999999999
LNhatx,0.00104609
LNhatz,0.99974406999999998
mean_anomaly,3.0605106234108428
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2789664870490105
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.27298993325817988
nhatz,-0.0071774999999999999
simulation-type,precessing
nhatx,0.96671991999999995
nhaty,-0.25573636
mass1,0.75
name,GT0733
license,public
mass2,0.25
Omega,0.10340178101825018
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3340.3234502856731
