files-in-error-series,SXS_BBH_0096_Res5.h5
comparable-simulation,"SXS_BBH_0098_Res2.h5,SXS_BBH_0098_Res4.h5,SXS_BBH_0098_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.050969024436099998
f_lower_at_1MSUN,935.70833013967024
spin1z,-0.00037319547218100002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0096
Format,3
LNhaty,-0.013918365912118924
LNhatx,0.0048057076451556461
LNhatz,0.99989158625541275
mean_anomaly,5.7584679999999997
Omega,0.014479044423924043
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.1582673214700001e-08
spin2y,5.4834460902300003e-09
spin2z,2.5014721691799997e-07
eccentricity,0.0002095
nhatz,0.013547863638146383
simulation-type,precessing
nhatx,-0.6705358306141046
nhaty,0.74175343292329643
mass1,0.60024633035700004
name,SXS:BBH:0096
license,LVC-internal
mass2,0.40000031016100002
type,NRinjection
Lmax,8
eta,0.2399803259736121
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.49663905451099999
