files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.42426399999999997
spin1z,0.42426399999999997
modification-date,2017-04-16
production-run,1
alternative-names,q5_LL_D9_a0.6_th1_45_th2_225_m320
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.1405290163013388
type,NRinjection
comparable-simulation,GT0560
init_sep,9.0
NR-group,Georgia Tech
spin2x,-0.42426399999999997
spin2y,0.0
spin2z,-0.42426399999999997
eccentricity,0.0057397507922863572
nhatz,0.0
simulation-type,precessing
nhatx,-1.0
nhaty,0.0
mass1,0.83333332999999998
name,GT0887
license,public
mass2,0.16666666999999999
Omega,0.062942133079321422
Lmax,8
eta,0.13888888999999999
spin-type,Precessing
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2033.3023383683383
