files-in-error-series,SXS_BBH_0124_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.058321080450999999
f_lower_at_1MSUN,1037.7126843556014
spin1z,0.071338402293200001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0124
Format,3
LNhaty,-0.018319920267316308
LNhatx,-0.0097252361310438042
LNhatz,0.99978487701284746
mean_anomaly,0.58467499999999994
Omega,0.016057448215526172
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.075097908308300002
spin2y,-0.095302988947399997
spin2z,0.286150874813
eccentricity,9.9099999999999996e-05
nhatz,-0.013548748464006553
simulation-type,precessing
nhatx,0.36254938091468131
nhaty,-0.93186607289537071
mass1,0.55754384326100004
name,SXS:BBH:0124
license,LVC-internal
mass2,0.442511201824
type,NRinjection
Lmax,8
eta,0.24669223701321855
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,0.25023268721800002
