files-in-error-series,SXS_BBH_0078_Res5.h5
comparable-simulation,"SXS_BBH_0014_Res4.h5,SXS_BBH_0014_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.049208045789699999
f_lower_at_1MSUN,885.88761369772931
spin1z,-0.00044844435864800002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0078
Format,3
LNhaty,-0.013366596270606485
LNhatx,0.0048872915710892898
LNhatz,0.99989871911370998
mean_anomaly,1.827485
Omega,0.013708124316280126
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,7.8463612311799997e-09
spin2y,5.2711801578900003e-09
spin2z,2.4821642030100001e-07
eccentricity,0.021527600000000001
nhatz,0.013431265196481338
simulation-type,precessing
nhatx,-0.63464279158413073
nhaty,0.77268889483771119
mass1,0.60024976395100005
name,SXS:BBH:0078
license,LVC-internal
mass2,0.40000031363100003
type,NRinjection
Lmax,8
eta,0.23998005156722166
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.49684578082899999
