files-in-error-series,SXS_BBH_0126_Res5.h5
comparable-simulation,"SXS_BBH_0023_Res4.h5,SXS_BBH_0023_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.237084471805
f_lower_at_1MSUN,1057.9828271609288
spin1z,0.091144921466099996
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0126
Format,3
LNhaty,0.066064623157587446
LNhatx,0.00081451043396674162
LNhatz,0.99781501398796302
mean_anomaly,4.3309379999999997
Omega,0.016371106103036707
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.35837060037599999
spin2y,0.17157354849600001
spin2z,0.215053318045
eccentricity,0.00037790000000000002
nhatz,-0.027190140859860899
simulation-type,precessing
nhatx,-0.90626116152861214
nhaty,0.42184286570337015
mass1,0.56338374966899996
name,SXS:BBH:0126
license,LVC-internal
mass2,0.43682557966899999
type,NRinjection
Lmax,8
eta,0.24599743328623136
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,560.0
PN_approximant,"none, NR only"
spin1x,-0.25047212857200002
