files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Lq_D6.2_q3.00_a0.6_th060_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.02885998
LNhatx,0.0013967199999999999
LNhatz,0.99958248999999999
mean_anomaly,3.0565372281118628
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2376428736271574
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.080083785879041275
nhatz,-0.0097522500000000005
simulation-type,precessing
nhatx,0.96140886999999997
nhaty,-0.27495069
mass1,0.75
name,GT0734
license,public
mass2,0.25
Omega,0.10408310922164514
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3362.333289504395
