files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q3.8_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.353589586044067
type,NRinjection
comparable-simulation,GT0582
init_sep,8.9208043983877054
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0045118824882454875
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.64172815999999999
nhaty,0.76693217999999996
mass1,0.79166667000000002
name,GT0780
license,public
mass2,0.20833333000000001
Omega,0.065443184866541937
Lmax,8
eta,0.16493056
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2114.0970969591699
