files-in-error-series,"SXS_BBH_0290_Res3.h5,SXS_BBH_0290_Res4.h5,SXS_BBH_0290_Res5.h5"
comparable-simulation,
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.72649560204e-08
f_lower_at_1MSUN,1136.0025403799441
spin1z,0.60003832184299999
modification-date,2017-03-05
production-run,1
alternative-names,"PRIVATE:BBH:0021,SXS:BBH:0290"
Format,3
LNhaty,-4.5160497793335027e-08
LNhatx,-3.9522168852745043e-09
LNhatz,0.999999999999999
mean_anomaly,2.5827170000000002
Omega,0.017578374284000019
INSPIRE-bibtex-keys,SXSCatalog
NR-group,SXS
spin2x,-2.3333839355699999e-08
spin2y,1.45436361263e-08
spin2z,0.39994827946900002
eccentricity,0.00011400000000000001
nhatz,-2.8577594259558535e-08
simulation-type,aligned-spins
nhatx,-0.8282804102426774
nhaty,-0.56031380672639253
mass1,0.75000128283400003
name,SXS:BBH:0290
license,LVC-internal
mass2,0.25000132286299998
type,NRinjection
Lmax,8
eta,0.18750033571804939
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,580.0
PN_approximant,"none, NR only"
spin1x,2.4844595752599999e-08
