files-in-error-series,SXS_BBH_0111_Res5.h5
comparable-simulation,"SXS_BBH_0113_Res3.h5,SXS_BBH_0113_Res4.h5,SXS_BBH_0113_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-7.1335487894700002e-12
f_lower_at_1MSUN,1286.942825200993
spin1z,-0.49954899999899999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0111
Format,3
LNhaty,-1.3405766381833601e-11
LNhatx,9.712746309817871e-13
LNhatz,1.0
mean_anomaly,5.3222259999999997
Omega,0.019914007107699999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-3.7835356541400004e-12
spin2y,-7.40954957141e-12
spin2z,5.5822109022400005e-07
eccentricity,0.0057038000000000002
nhatz,-6.4807937712292213e-12
simulation-type,aligned-spins
nhatx,-0.83894479905470154
nhaty,-0.54421652321393765
mass1,0.83370041280200002
name,SXS:BBH:0111
license,LVC-internal
mass2,0.16666729381699999
type,NRinjection
Lmax,8
eta,0.13884846188543393
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,190.0
PN_approximant,"none, NR only"
spin1x,3.0350537293299999e-11
