files-in-error-series,SXS_BBH_0100_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-5.0025323157799996e-10
f_lower_at_1MSUN,804.17025733597166
spin1z,9.5982703157800003e-08
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0100
Format,3
LNhaty,2.4379090624004031e-11
LNhatx,-5.3363589837521263e-11
LNhatz,1.0
mean_anomaly,2.729428
Omega,0.0124436392253
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.8695725075100003e-10
spin2y,-1.5207560037599999e-10
spin2z,1.60432572556e-07
eccentricity,0.030714999999999999
nhatz,4.1772355932435239e-11
simulation-type,non-spinning
nhatx,0.93940261064133557
nhaty,0.34281589099725718
mass1,0.60000005031100001
name,SXS:BBH:0100
license,LVC-internal
mass2,0.40000025238699999
type,NRinjection
Lmax,8
eta,0.24000002626153477
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,520.0
PN_approximant,"none, NR only"
spin1x,-5.2855655526199999e-10
