files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q3.7_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.3929368031130602
type,NRinjection
comparable-simulation,GT0582
init_sep,8.8971805330174121
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0043085449985938683
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.67075348000000001
nhaty,0.74168036999999998
mass1,0.78723403999999997
name,GT0778
license,public
mass2,0.21276596
Omega,0.065637954598209272
Lmax,8
eta,0.1674966
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2120.3889992425493
