files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Lq_D6.2_q2.50_a0.6_th330_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.013211280000000001
LNhatx,-0.00061476
LNhatz,0.99991253999999996
mean_anomaly,3.1150358948839725
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2358780496984076
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.28468419622571728
nhatz,0.0039373799999999999
simulation-type,precessing
nhatx,0.97278052000000004
nhaty,-0.23169495000000001
mass1,0.71428570999999996
name,GT0682
license,public
mass2,0.28571428999999998
Omega,0.10341591888876715
Lmax,8
eta,0.20408163000000001
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3340.7801644733772
