files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Eq_D7_q3.00_a0.6_ph300_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.031049819999999999
LNhatx,-0.035138570000000001
LNhatz,0.99889998999999996
mean_anomaly,3.1434086978704094
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.7706539974334303
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.073844791969926021
nhatz,0.02461317
simulation-type,precessing
nhatx,0.96406703999999999
nhaty,-0.26451643000000002
mass1,0.75
name,GT0703
license,public
mass2,0.25
Omega,0.092883968729301797
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3000.5527549600652
