files-in-error-series,SXS_BBH_0108_Res5.h5
comparable-simulation,"SXS_BBH_0113_Res3.h5,SXS_BBH_0113_Res4.h5,SXS_BBH_0113_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.88024715414e-11
f_lower_at_1MSUN,1133.9601453577873
spin1z,-0.499553000001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0108
Format,3
LNhaty,-7.1717541502004638e-11
LNhatx,1.1129948564392392e-11
LNhatz,1.0
mean_anomaly,0.88261400000000001
Omega,0.017546770495399999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,7.3506685038000004e-12
spin2y,6.0202087030300006e-11
spin2z,3.0157773759500002e-07
eccentricity,0.034462
nhatz,-6.0400157670927254e-11
simulation-type,aligned-spins
nhatx,0.67549574916853805
nhaty,-0.73736388089954297
mass1,0.83369935342199997
name,SXS:BBH:0108
license,LVC-internal
mass2,0.16666707473199999
type,NRinjection
Lmax,8
eta,0.13884845782950234
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,-3.4444283308300002e-11
