files-in-error-series,SXS_BBH_0118_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.0296220951128
f_lower_at_1MSUN,1046.4438127229917
spin1z,0.34279940864699998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0118
Format,3
LNhaty,0.02056412685613106
LNhatx,-0.0071558529676955017
LNhatz,0.99976292712570103
mean_anomaly,2.4186480000000001
Omega,0.016192552704211823
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.190017675188
spin2y,-0.146181573684
spin2z,0.25777048646599998
eccentricity,7.4999999999999993e-05
nhatz,-0.014281318197626973
simulation-type,precessing
nhatx,0.49740776952969767
nhaty,0.86739930525798181
mass1,0.52835560222
name,SXS:BBH:0118
license,LVC-internal
mass2,0.47175231400000001
type,NRinjection
Lmax,8
eta,0.24919918979081854
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,460.0
PN_approximant,"none, NR only"
spin1x,-0.010227084702999999
