files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,-0.21277451
spin1x,-0.56096656
spin1z,-0.0090041900000000005
modification-date,2017-06-15
production-run,1
alternative-names,D10_q4_a0.6_th90_m120
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0061532399999999999
LNhatx,-0.019184759999999999
LNhatz,0.99979702000000004
mean_anomaly,3.031825546256302
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,9.8915811871357278
NR-group,Georgia Tech
spin2x,0.10257954
spin2y,-0.017346899999999998
spin2z,0.59070418000000002
eccentricity,0.00077977333748744531
nhatz,0.018075910000000001
simulation-type,precessing
nhatx,0.98673224000000004
nhaty,-0.16134668999999999
mass1,0.80000000000000004
name,GT0544
license,public
mass2,0.20000000000000001
Omega,0.056307581967716402
Lmax,8
eta,0.16
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1818.9777257555083
