files-in-error-series,SXS_BBH_0006_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.14767967368400001
f_lower_at_1MSUN,938.19460162078428
spin1z,-0.16107952781900001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0006
Format,3
LNhaty,-0.010921175125889283
LNhatx,0.0092392489892948043
LNhatz,0.99989767687098041
mean_anomaly,5.7234239999999996
Omega,0.014517516706434997
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.0911301985338
spin2y,0.064010465375700001
spin2z,-0.101046126316
eccentricity,0.00024850000000000002
nhatz,0.014294738827884731
simulation-type,precessing
nhatx,-0.67438450909079883
nhaty,0.73824196192048375
mass1,0.57360707741200001
name,SXS:BBH:0006
license,LVC-internal
mass2,0.42644258744399999
type,NRinjection
Lmax,8
eta,0.24458619098855824
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.23399991992499999
