files-in-error-series,SXS_BBH_0013_Res5.h5
comparable-simulation,"SXS_BBH_0015_Res4.h5,SXS_BBH_0015_Res5.h5,SXS_BBH_0015_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.6739469661700001e-12
f_lower_at_1MSUN,932.88273083423485
spin1z,0.499524000001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0013
Format,3
LNhaty,-1.1944565104575727e-12
LNhatx,-1.5184907191611263e-11
LNhatz,1.0
mean_anomaly,4.6986049999999997
Omega,0.014435321421199999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.34855433834e-10
spin2y,-5.3090550488600005e-10
spin2z,2.3504165714200001e-07
eccentricity,0.00013569999999999999
nhatz,-1.3433875998783636e-11
simulation-type,aligned-spins
nhatx,-0.9162060390420258
nhaty,0.40070749184775895
mass1,0.60027220991700003
name,SXS:BBH:0013
license,LVC-internal
mass2,0.400000246098
type,NRinjection
Lmax,8
eta,0.23997824684481381
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,190.0
PN_approximant,"none, NR only"
spin1x,-5.1383889173000003e-13
