files-in-error-series,SXS_BBH_0120_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.20000193496300001
f_lower_at_1MSUN,1071.8958554142951
spin1z,-0.0083347527443799994
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0120
Format,3
LNhaty,0.011977500955373329
LNhatx,-0.057985573791819588
LNhatz,0.99824556733445979
mean_anomaly,5.1020500000000002
Omega,0.016586394722003829
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.065324480601800003
spin2y,-0.24136402744400001
spin2z,-0.098643534248500003
eccentricity,0.00022550000000000001
nhatz,-0.025199625329589408
simulation-type,precessing
nhatx,-0.59912363221849207
nhaty,-0.80025986541908334
mass1,0.52832022268099998
name,SXS:BBH:0120
license,LVC-internal
mass2,0.47171981890999998
type,NRinjection
Lmax,8
eta,0.24919916270812251
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,0.138355221429
