files-in-error-series,SXS_BBH_0128_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.0052431674548700001
f_lower_at_1MSUN,1062.0382766911182
spin1z,0.133897827444
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0128
Format,3
LNhaty,-0.0040913547427429559
LNhatx,0.01127715837313332
LNhatz,0.9999280406686254
mean_anomaly,4.5164710000000001
Omega,0.016433859668453645
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.048164598458699998
spin2y,0.10282978383499999
spin2z,0.39674192105299999
eccentricity,7.2000000000000002e-05
nhatz,0.004294963419784914
simulation-type,precessing
nhatx,-0.65497378993690447
nhaty,-0.75563939004323388
mass1,0.574470273034
name,SXS:BBH:0128
license,LVC-internal
mass2,0.42562567797500001
type,NRinjection
Lmax,8
eta,0.24446238436102921
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,0.040617126014900001
