files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0025070100000000001
spin1x,0.42488902000000001
spin1z,0.42351053999999999
modification-date,2017-06-19
production-run,1
alternative-names,RO3_D10_q2.00_a0.60_oth.045_M120
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.013109869999999999
LNhatx,0.0043163100000000003
LNhatz,0.99990475000000001
mean_anomaly,2.9829566233417633
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,9.8771669195618088
NR-group,Georgia Tech
spin2x,-0.00047930999999999999
spin2y,-0.00095492000000000005
spin2z,0.59996384000000003
eccentricity,0.0063409776691370906
nhatz,-0.0082313200000000003
simulation-type,precessing
nhatx,0.9537061
nhaty,-0.30062755000000002
mass1,0.66666667000000002
name,GT0460
license,public
mass2,0.33333332999999998
Omega,0.05542127451010858
Lmax,8
eta,0.22222222
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1790.3461726463026
