files-in-error-series,SXS_BBH_0142_Res5.h5
comparable-simulation,"SXS_BBH_0010_Res1.h5,SXS_BBH_0010_Res3.h5,SXS_BBH_0010_Res4.h5,SXS_BBH_0010_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.23032073120300001
f_lower_at_1MSUN,1036.2933910146671
spin1z,-0.051598388571399999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0142
Format,3
LNhaty,0.03128779183510115
LNhatx,-0.0226425536641458
LNhatz,0.99925391610223357
mean_anomaly,0.86716000000000004
Omega,0.01603548623157023
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.0037773425902299998
spin2y,0.00118561323308
spin2z,0.110013064286
eccentricity,5.63e-05
nhatz,0.032465159983100095
simulation-type,precessing
nhatx,0.05364764512370581
nhaty,-0.99803203533751994
mass1,0.65644691553199996
name,SXS:BBH:0142
license,LVC-internal
mass2,0.34364426314800001
type,NRinjection
Lmax,8
eta,0.22554308526711189
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,300.0
PN_approximant,"none, NR only"
spin1x,-0.291162415038
