files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.010645999999999999
spin1x,0.42290189
spin1z,-0.42483594000000002
modification-date,2017-06-19
production-run,1
alternative-names,fr_b5_a0.6_oth.135_M77
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0061260200000000002
LNhatx,-0.0021297099999999999
LNhatz,0.99997897000000002
mean_anomaly,3.0996245508230929
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,9.4259539634957381
NR-group,Georgia Tech
spin2x,-0.59950424000000002
spin2y,-0.013310809999999999
spin2z,-0.0016022199999999999
eccentricity,0.0078107903787031623
nhatz,0.00383687
simulation-type,precessing
nhatx,0.95026425999999997
nhaty,-0.31142111
mass1,0.5
name,GT0205
license,public
mass2,0.5
Omega,0.059336744350128118
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1916.8327340643807
