files-in-error-series,SXS_BBH_0119_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.068041215075300004
f_lower_at_1MSUN,1026.2938734742202
spin1z,0.26008736202999999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0119
Format,3
LNhaty,-0.0018550586389508622
LNhatx,0.0027214811422760542
LNhatz,0.99999457613420994
mean_anomaly,4.9667599999999998
Omega,0.015880754832882857
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.078389532669300002
spin2y,-0.0027871402443600001
spin2z,0.0062826214623999998
eccentricity,6.0099999999999997e-05
nhatz,0.0032611069075248419
simulation-type,precessing
nhatx,-0.89704755370163347
nhaty,0.44192199716652786
mass1,0.52832355067299996
name,SXS:BBH:0119
license,LVC-internal
mass2,0.47169891558499999
type,NRinjection
Lmax,8
eta,0.24919844869140928
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,170.0
PN_approximant,"none, NR only"
spin1x,-0.012213981992499999
