files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,D6.2_q1.50_S0_m120
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.01129937
LNhatx,-0.0071395299999999998
LNhatz,0.99991067
mean_anomaly,3.3423458413036906
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,5.8452668854321939
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.17466569096613727
nhatz,0.0094076899999999998
simulation-type,precessing
nhatx,0.96922591000000002
nhaty,-0.24599314
mass1,0.59999999999999998
name,GT0567
license,public
mass2,0.40000000000000002
Omega,0.11417589428245122
Lmax,8
eta,0.23999999999999999
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3688.3737724178682
