files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.40078322
modification-date,2017-05-16
production-run,1
alternative-names,D10_q1.25_a0.4_m100
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,3.0059848246748451
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,9.7446408524253041
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.40119283
eccentricity,0.0038218452953245707
nhatz,-0.0
simulation-type,aligned-spins
nhatx,0.95679305000000003
nhaty,-0.29076977999999998
mass1,0.55557524000000003
name,GT0406
license,public
mass2,0.44446278
Omega,0.056634135642848013
Lmax,6
eta,0.24691373999999999
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,1829.5268177351384
