files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-05-16
production-run,1
alternative-names,D6.2_q1_a-0.6_m100
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,4.6276934585953047
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0582
init_sep,3.8254846248658265
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,1.0237642997709853
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.99764967999999998
nhaty,0.068520880000000006
mass1,0.47440923000000002
name,GT0389
license,public
mass2,0.47440923000000002
Omega,0.17174534743792746
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,5548.1153793967578
