files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.32559409
spin1x,0.16157687000000001
spin1z,0.34333047999999999
modification-date,2017-06-19
production-run,1
alternative-names,D8_q3.00_a0.5_0.0_th060_ph315_m120
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.25744024999999998
LNhatx,0.04232342
LNhatz,0.96536690000000003
mean_anomaly,3.0699907355204892
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,7.8764327944340415
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0069727971116329054
nhatz,-0.085186280000000003
simulation-type,precessing
nhatx,0.98376087000000001
nhaty,-0.15798054
mass1,0.75
name,GT0741
license,public
mass2,0.25
Omega,0.078181091735323019
Lmax,8
eta,0.1875
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,2525.5864214402895
