files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,-0.70999999999999996
modification-date,2017-05-27
production-run,1
alternative-names,D10_q5.00_a-0.71_0.00_m240
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,3.0675614542516993
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,9.4937442795164753
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.010420866458064254
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.98393052000000003
nhaty,-0.17855177999999999
mass1,0.83333332999999998
name,GT0768
license,public
mass2,0.16666666999999999
Omega,0.060584372349793553
Lmax,8
eta,0.13888888999999999
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1957.136498888121
