files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,fr_b3.1_a0.6_oth.105_rr_M77
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.00150745
LNhatx,-0.00046078999999999998
LNhatz,0.99999875999999999
mean_anomaly,3.4130061857557741
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,5.7310543773729083
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.17364494821892046
nhatz,0.00075584999999999997
simulation-type,precessing
nhatx,0.97290646000000003
nhaty,-0.23119783999999999
mass1,0.5
name,GT0261
license,public
mass2,0.5
Omega,0.11653206309860172
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3764.4881862308198
