files-in-error-series,SXS_BBH_0137_Res5.h5
comparable-simulation,"SXS_BBH_0010_Res1.h5,SXS_BBH_0010_Res3.h5,SXS_BBH_0010_Res4.h5,SXS_BBH_0010_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.318798773684
f_lower_at_1MSUN,1049.3636204252259
spin1z,-0.033968510112799999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0137
Format,3
LNhaty,0.040900163083722151
LNhatx,-0.0227213388377338
LNhatz,0.99890485904371573
mean_anomaly,2.2727550000000001
Omega,0.016237733476967855
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.070511030826999999
spin2y,0.150991307518
spin2z,-0.18967048120300001
eccentricity,0.00016009999999999999
nhatz,-0.0043496867339935085
simulation-type,precessing
nhatx,0.82528265328357153
nhaty,0.56470312768262954
mass1,0.63780298427600002
name,SXS:BBH:0137
license,LVC-internal
mass2,0.362334926025
type,NRinjection
Lmax,8
eta,0.23103456863825964
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,430.0
PN_approximant,"none, NR only"
spin1x,-0.24818015638999999
