files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q2.7_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.4148228995401038
type,NRinjection
comparable-simulation,GT0582
init_sep,8.6644371748974898
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0017379367746086297
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.66514598000000003
nhaty,0.74671335000000005
mass1,0.72972972999999997
name,GT0650
license,public
mass2,0.27027026999999998
Omega,0.066768592949312713
Lmax,8
eta,0.19722424999999999
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2156.9134938962402
