files-in-error-series,"SXS_BBH_0015_Res4.h5,SXS_BBH_0015_Res5.h5,SXS_BBH_0015_Res6.h5"
comparable-simulation,
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.055295561240700002
f_lower_at_1MSUN,791.29009891416285
spin1z,0.00034893094022500002
modification-date,2017-03-05
production-run,0
alternative-names,SXS:BBH:0015
Format,3
LNhaty,-0.015906410352382827
LNhatx,0.001384194376274645
LNhatz,0.99987252693312378
mean_anomaly,5.1693720000000001
Omega,0.012244333116794253
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,7.3473880564200002e-09
spin2y,9.6049576052499999e-09
spin2z,1.4699548646700001e-07
eccentricity,0.00034390000000000001
nhatz,0.0065860093782795469
simulation-type,precessing
nhatx,-0.94328854244796922
nhaty,0.33190864732160097
mass1,0.60027065786900002
name,SXS:BBH:0015
license,LVC-internal
mass2,0.400000167036
type,NRinjection
Lmax,8
eta,0.23997836157897232
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,230.0
PN_approximant,"none, NR only"
spin1x,0.49645439285600002
