files-in-error-series,SXS_BBH_0094_Res5.h5
comparable-simulation,"SXS_BBH_0015_Res4.h5,SXS_BBH_0015_Res5.h5,SXS_BBH_0015_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.058944086127900003
f_lower_at_1MSUN,956.54504613288827
spin1z,0.00024377066768100001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0094
Format,3
LNhaty,-0.016866093539266696
LNhatx,0.002691527939618155
LNhatz,0.99985413464468653
mean_anomaly,0.587395
Omega,0.014801469400593278
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,9.8899134773999997e-09
spin2y,5.1660784323200003e-09
spin2z,2.50282681954e-07
eccentricity,0.012531199999999999
nhatz,0.010432112788068807
simulation-type,precessing
nhatx,-0.87813401913012856
nhaty,0.47830096745578926
mass1,0.60027231923299995
name,SXS:BBH:0094
license,LVC-internal
mass2,0.40000030279400001
type,NRinjection
Lmax,8
eta,0.23997824490508493
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,0.496027640602
