files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Sq_D6.2_q3.00_a0.6_th015_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0046309200000000002
LNhatx,-0.0054142499999999998
LNhatz,0.99997462000000004
mean_anomaly,3.1219902958845247
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2460360035118025
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.29261156083827333
nhatz,0.00600396
simulation-type,precessing
nhatx,0.97716707999999997
nhaty,-0.21238752
mass1,0.75
name,GT0698
license,public
mass2,0.25
Omega,0.10509581814790975
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3395.0481551614789
