files-in-error-series,SXS_BBH_0105_Res4.h5
comparable-simulation,"SXS_BBH_0036_Res4.h5,SXS_BBH_0036_Res5.h5,SXS_BBH_0036_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.05462967293e-11
f_lower_at_1MSUN,799.70395419667443
spin1z,-0.49954799999999999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0105
Format,3
LNhaty,-1.8881027625504087e-12
LNhatx,-1.4212935407895865e-12
LNhatz,1.0
mean_anomaly,3.3912360000000001
Omega,0.0123745281578
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-7.5049078158199998e-12
spin2y,-6.8791247180699998e-12
spin2z,2.49394368045e-07
eccentricity,0.022019500000000001
nhatz,1.4054267617986788e-12
simulation-type,aligned-spins
nhatx,-0.28464840537786784
nhaty,0.95863198638259361
mass1,0.75033061355300001
name,SXS:BBH:0105
license,LVC-internal
mass2,0.25000012586300002
type,NRinjection
Lmax,8
eta,0.18745872734126168
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,1.8435617405899999e-12
