files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,-0.0
spin1z,0.34924596000000002
modification-date,2017-05-17
production-run,1
alternative-names,D09_q1.00_a0.35_Q20
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,inf
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,8.7283357271991822
NR-group,Georgia Tech
spin2x,-0.0
spin2y,0.0
spin2z,0.34924596000000002
eccentricity,0.004703653918891478
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.95753290999999996
nhaty,-0.28832397999999998
mass1,0.49993813999999998
name,GT0830
license,public
mass2,0.49993813999999998
Omega,0.066045557554551632
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,2133.5563325328321
