files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Sq_D6.2_q3.00_a0.6_th045_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.01937612
LNhatx,-0.0016175600000000001
LNhatz,0.99981096000000003
mean_anomaly,3.1026281479486486
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2306689491006582
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.065505217896409354
nhatz,-0.0034060599999999998
simulation-type,precessing
nhatx,0.97195794999999996
nhaty,-0.23513006
mass1,0.75
name,GT0690
license,public
mass2,0.25
Omega,0.10453094139462975
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3376.8001999819708
