files-in-error-series,SXS_BBH_0116_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.064670212857400003
f_lower_at_1MSUN,1068.149226673057
spin1z,0.033433728496299997
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0116
Format,3
LNhaty,-0.016045327292507017
LNhatx,0.0055354882576065176
LNhatz,0.99985594254463794
mean_anomaly,5.0642040000000001
Omega,0.01652841981439962
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.185084948497
spin2y,0.0066097559360999997
spin2z,0.102949364662
eccentricity,9.3900000000000006e-05
nhatz,-0.0091224246859769771
simulation-type,precessing
nhatx,-0.62193058416496383
nhaty,-0.78301923976877841
mass1,0.519232570206
name,SXS:BBH:0116
license,LVC-internal
mass2,0.48077884293899997
type,NRinjection
Lmax,8
eta,0.24963033615292113
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,-0.0779751222558
