files-in-error-series,SXS_BBH_0093_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-5.15817867292e-10
f_lower_at_1MSUN,800.42104049277259
spin1z,8.7336805977500007e-08
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0093
Format,3
LNhaty,1.0420416323361158e-10
LNhatx,-1.2846353526745077e-11
LNhatz,1.0
mean_anomaly,6.2663770000000003
Omega,0.0123856242697
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-1.3934778684200001e-09
spin2y,5.9255779812099998e-10
spin2z,1.6598506842099999e-07
eccentricity,0.0023820999999999998
nhatz,8.2349155443890412e-11
simulation-type,non-spinning
nhatx,-0.51971703618757525
nhaty,-0.85433845886533888
mass1,0.60000006032499997
name,SXS:BBH:0093
license,LVC-internal
mass2,0.400000252547
type,NRinjection
Lmax,8
eta,0.24000002547961582
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,340.0
PN_approximant,"none, NR only"
spin1x,-6.6391505676699997e-10
