files-in-error-series,SXS_BBH_0140_Res5.h5
comparable-simulation,"SXS_BBH_0010_Res1.h5,SXS_BBH_0010_Res3.h5,SXS_BBH_0010_Res4.h5,SXS_BBH_0010_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.36673834135400002
f_lower_at_1MSUN,1030.5958082933539
spin1z,-0.20870096654100001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0140
Format,3
LNhaty,0.00038171721338771413
LNhatx,-0.019493756708589955
LNhatz,0.99980990580277573
mean_anomaly,5.4379650000000002
Omega,0.01594732248366541
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.065626079248200006
spin2y,0.0617227246617
spin2z,0.0874473231203
eccentricity,0.0003144
nhatz,-0.018794949877606864
simulation-type,precessing
nhatx,-0.95839143975804786
nhaty,0.28483784519897376
mass1,0.64556153397799998
name,SXS:BBH:0140
license,LVC-internal
mass2,0.354612459145
type,NRinjection
Lmax,8
eta,0.2288445214194815
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,0.115046689098
