files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Sq_D6.2_q3.00_a0.6_th210_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.064472619999999994
LNhatx,-0.014417900000000001
LNhatz,0.99781531999999995
mean_anomaly,3.6954465472811293
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,5.4716473105275494
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.76161098082991274
nhatz,0.023191110000000001
simulation-type,precessing
nhatx,0.99036683000000003
nhaty,-0.13651268999999999
mass1,0.75
name,GT0709
license,public
mass2,0.25
Omega,0.12340006899422661
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3986.3543951485076
