files-in-error-series,SXS_BBH_0087_Res5.h5
comparable-simulation,"SXS_BBH_0036_Res4.h5,SXS_BBH_0036_Res5.h5,SXS_BBH_0036_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.8337398984799996e-10
f_lower_at_1MSUN,733.4192208412104
spin1z,1.2191184285700001e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0087
Format,3
LNhaty,-7.1345175566081405e-11
LNhatx,1.9239724359899452e-11
LNhatz,1.0
mean_anomaly,2.9689640000000002
Omega,0.011348845722400001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.9324259098000003e-10
spin2y,1.29212365038e-09
spin2z,1.2317504097799999e-07
eccentricity,0.021465999999999999
nhatz,-1.8920955926267841e-11
simulation-type,non-spinning
nhatx,-0.86665160398619712
nhaty,-0.49891381751576264
mass1,0.50000016717499995
name,SXS:BBH:0087
license,LVC-internal
mass2,0.50000017215899994
type,NRinjection
Lmax,8
eta,0.24999999999999989
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,310.0
PN_approximant,"none, NR only"
spin1x,7.1074003120400005e-10
