files-in-error-series,SXS_BBH_0134_Res5.h5
comparable-simulation,"SXS_BBH_0007_Res4.h5,SXS_BBH_0007_Res5.h5,SXS_BBH_0007_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.18425656315799999
f_lower_at_1MSUN,1063.2528132536643
spin1z,-0.0119151844361
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0134
Format,3
LNhaty,0.029471160866645574
LNhatx,0.040662392785501475
LNhatz,0.99873821419335396
mean_anomaly,4.8959440000000001
Omega,0.016452653269276842
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.00055206649624100004
spin2y,0.0322311342857
spin2z,0.17632798759400001
eccentricity,0.00019780000000000001
nhatz,0.050084268665409083
simulation-type,precessing
nhatx,-0.84950847712988586
nhaty,-0.5251922631919792
mass1,0.61980799989299995
name,SXS:BBH:0134
license,LVC-internal
mass2,0.38023328524299999
type,NRinjection
Lmax,8
eta,0.23565217375346392
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,620.0
PN_approximant,"none, NR only"
spin1x,-0.23049131315800001
