files-in-error-series,SXS_BBH_0099_Res5.h5
comparable-simulation,"SXS_BBH_0098_Res2.h5,SXS_BBH_0098_Res4.h5,SXS_BBH_0098_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.058155676954900003
f_lower_at_1MSUN,794.8509447746826
spin1z,0.000489039511278
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0099
Format,3
LNhaty,-0.017328287981109452
LNhatx,0.00098936675040723785
LNhatz,0.99984936444900385
mean_anomaly,5.1925699999999999
Omega,0.01229943324120323
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,6.78038067672e-09
spin2y,9.9294916992500006e-09
spin2z,1.4731001203000001e-07
eccentricity,0.0021316999999999998
nhatz,0.0046424721150180506
simulation-type,precessing
nhatx,-0.97724204873530052
nhaty,0.21207646176861181
mass1,0.60027067668900003
name,SXS:BBH:0099
license,LVC-internal
mass2,0.40000016095599999
type,NRinjection
Lmax,8
eta,0.23997835934223685
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,240.0
PN_approximant,"none, NR only"
spin1x,0.496127445113
