files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-15
production-run,1
alternative-names,Sq_D6.2_q3.00_a0.6_th300_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.063729809999999998
LNhatx,-0.017269900000000001
LNhatz,0.99781774999999995
mean_anomaly,3.032564731462517
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2811736488012464
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.08341894238619349
nhatz,0.034641249999999998
simulation-type,precessing
nhatx,0.95906687999999995
nhaty,-0.28105285000000002
mass1,0.75
name,GT0723
license,public
mass2,0.25
Omega,0.1018272313216147
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3289.4587047898158
