files-in-error-series,SXS_BBH_0133_Res5.h5
comparable-simulation,"SXS_BBH_0007_Res4.h5,SXS_BBH_0007_Res5.h5,SXS_BBH_0007_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.041624728947399998
f_lower_at_1MSUN,1068.7333148410162
spin1z,-0.13377726541400001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0133
Format,3
LNhaty,-0.0048222040636482187
LNhatx,-0.0030433329729509951
LNhatz,0.99998374210403251
mean_anomaly,2.0438610000000001
Omega,0.016537457928370566
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.106665976316
spin2y,-0.11001656015
spin2z,-0.021345221578999998
eccentricity,7.4999999999999993e-05
nhatz,-0.0056763543044066056
simulation-type,precessing
nhatx,-0.61176287859920353
nhaty,-0.79102083371414877
mass1,0.61977642127400001
name,SXS:BBH:0133
license,LVC-internal
mass2,0.38023163387499997
type,NRinjection
Lmax,8
eta,0.23565480481379206
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,0.098401183195499994
