files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0010035300000000001
spin1x,0.42442295000000002
spin1z,0.42383050999999999
modification-date,2017-06-19
production-run,1
alternative-names,q2_LL_D9_a0.6_th1_45_th2_225_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0074463799999999998
LNhatx,0.00051867999999999999
LNhatz,0.99997214000000001
mean_anomaly,3.0354425066342388
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,8.7607272315875466
NR-group,Georgia Tech
spin2x,-0.42301854
spin2y,-0.010705610000000001
spin2z,-0.42431457
eccentricity,0.0072297732208883954
nhatz,-0.0029162799999999998
simulation-type,precessing
nhatx,0.95417965999999999
nhaty,-0.29922009999999999
mass1,0.66666667000000002
name,GT0872
license,public
mass2,0.33333332999999998
Omega,0.065833365073772146
Lmax,8
eta,0.22222222
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,2126.7016003169829
